city,forecast_date,latitude,longitude,temperature_max,temperature_min,precipitation_sum,wind_speed_10m_max
Casablanca,2026-09-14,33.5992,-7.62,32.3,23.3,0.0,10.3
Casablanca,2026-09-15,33.5992,-7.62,28.0,21.7,0.0,11.9
Casablanca,2026-09-16,33.5992,-7.62,25.6,20.9,0.0,14.6
Casablanca,2026-09-17,33.5992,-7.62,25.6,19.7,0.0,12.5
Casablanca,2026-09-18,33.5992,-7.62,25.4,18.2,0.0,14.8
Casablanca,2026-09-19,33.5992,-7.62,28.6,19.8,0.0,13.1
Casablanca,2026-09-20,33.5992,-7.62,31.7,21.1,0.0,13.3
Tangier,2026-09-14,35.7767,-5.8039,29.3,22.3,0.0,26.1
Tangier,2026-09-15,35.7767,-5.8039,30.1,20.7,0.0,16.1
Tangier,2026-09-16,35.7767,-5.8039,26.9,18.2,0.0,21.3
Tangier,2026-09-17,35.7767,-5.8039,26.2,18.8,0.0,15.0
Tangier,2026-09-18,35.7767,-5.8039,28.2,18.7,0.0,21.4
Tangier,2026-09-19,35.7767,-5.8039,27.3,21.7,0.0,34.2
Tangier,2026-09-20,35.7767,-5.8039,26.9,22.9,0.0,35.1
Fès,2026-09-14,34.0433,-5.0033,38.1,23.5,0.0,10.8
Fès,2026-09-15,34.0433,-5.0033,35.2,23.9,0.0,15.1
Fès,2026-09-16,34.0433,-5.0033,31.3,20.5,0.0,16.8
Fès,2026-09-17,34.0433,-5.0033,27.7,18.7,0.0,12.2
Fès,2026-09-18,34.0433,-5.0033,32.0,18.0,0.0,9.7
Fès,2026-09-19,34.0433,-5.0033,37.4,21.2,0.0,9.8
Fès,2026-09-20,34.0433,-5.0033,38.9,23.5,0.0,17.2
Marrakech,2026-09-14,31.6295,-7.9811,39.8,23.2,0.0,10.9
Marrakech,2026-09-15,31.6295,-7.9811,38.4,24.4,0.0,14.8
Marrakech,2026-09-16,31.6295,-7.9811,34.6,20.3,0.0,13.3
Marrakech,2026-09-17,31.6295,-7.9811,30.3,18.3,0.0,8.8
Marrakech,2026-09-18,31.6295,-7.9811,31.7,18.2,0.0,7.9
Marrakech,2026-09-19,31.6295,-7.9811,35.7,19.6,0.3,12.9
Marrakech,2026-09-20,31.6295,-7.9811,37.9,20.3,0.0,11.3
Sale,2026-09-14,34.05,-6.8167,33.5,22.8,0.0,11.1
Sale,2026-09-15,34.05,-6.8167,27.6,21.5,0.0,13.7
Sale,2026-09-16,34.05,-6.8167,25.8,20.8,0.0,15.5
