,city,forecast_date,latitude,longitude,temperature_max,temperature_min,precipitation_sum,wind_speed_10m_max
0,Casablanca,2026-09-15,33.5992,-7.62,28.8,21.7,0.0,11.0
1,Casablanca,2026-09-16,33.5992,-7.62,25.9,21.1,0.0,14.3
2,Casablanca,2026-09-17,33.5992,-7.62,25.8,19.9,0.0,11.7
3,Casablanca,2026-09-18,33.5992,-7.62,26.3,18.6,0.0,14.0
4,Casablanca,2026-09-19,33.5992,-7.62,27.0,19.9,0.0,12.4
5,Casablanca,2026-09-20,33.5992,-7.62,31.8,21.5,0.0,11.6
6,Casablanca,2026-09-21,33.5992,-7.62,30.3,21.6,0.0,13.2
7,Tangier,2026-09-15,35.7767,-5.8039,30.8,21.0,0.0,13.2
8,Tangier,2026-09-16,35.7767,-5.8039,26.8,18.1,0.0,18.7
9,Tangier,2026-09-17,35.7767,-5.8039,26.1,16.6,0.0,12.0
10,Tangier,2026-09-18,35.7767,-5.8039,28.4,20.3,0.0,18.3
11,Tangier,2026-09-19,35.7767,-5.8039,27.7,22.0,0.0,31.1
12,Tangier,2026-09-20,35.7767,-5.8039,25.5,22.6,0.0,42.5
13,Tangier,2026-09-21,35.7767,-5.8039,25.6,21.9,0.0,40.0
14,Fès,2026-09-15,34.0433,-5.0033,34.6,23.8,0.0,14.4
15,Fès,2026-09-16,34.0433,-5.0033,31.2,20.7,0.0,16.9
16,Fès,2026-09-17,34.0433,-5.0033,29.5,18.7,0.0,11.7
17,Fès,2026-09-18,34.0433,-5.0033,31.2,18.3,0.0,9.1
18,Fès,2026-09-19,34.0433,-5.0033,33.7,21.0,0.0,16.9
19,Fès,2026-09-20,34.0433,-5.0033,33.9,21.9,0.0,17.2
20,Fès,2026-09-21,34.0433,-5.0033,33.8,21.5,0.0,10.5
21,Marrakech,2026-09-15,31.6295,-7.9811,38.1,25.6,0.0,11.5
22,Marrakech,2026-09-16,31.6295,-7.9811,34.8,21.7,0.0,12.7
23,Marrakech,2026-09-17,31.6295,-7.9811,30.5,19.1,0.0,9.6
24,Marrakech,2026-09-18,31.6295,-7.9811,31.7,19.2,0.0,7.3
25,Marrakech,2026-09-19,31.6295,-7.9811,36.3,20.8,0.0,7.5
26,Marrakech,2026-09-20,31.6295,-7.9811,39.0,23.7,0.0,20.7
27,Marrakech,2026-09-21,31.6295,-7.9811,34.5,23.6,0.0,15.0
28,Sale,2026-09-15,34.05,-6.8167,28.1,21.6,0.0,12.3
29,Sale,2026-09-16,34.05,-6.8167,26.2,20.8,0.0,15.5
30,Sale,2026-09-17,34.05,-6.8167,26.3,19.6,0.0,12.0
31,Sale,2026-09-18,34.05,-6.8167,26.9,16.3,0.0,12.0
32,Sale,2026-09-19,34.05,-6.8167,29.4,17.3,0.0,12.4
33,Sale,2026-09-20,34.05,-6.8167,33.5,19.4,0.0,13.4
34,Sale,2026-09-21,34.05,-6.8167,28.4,20.3,0.0,14.1
35,Meknès,2026-09-15,33.8833,-5.55,33.4,21.8,0.0,16.0
36,Meknès,2026-09-16,33.8833,-5.55,30.1,18.8,0.0,16.1
37,Meknès,2026-09-17,33.8833,-5.55,27.8,17.5,0.0,13.2
38,Meknès,2026-09-18,33.8833,-5.55,29.7,16.3,0.0,12.0
39,Meknès,2026-09-19,33.8833,-5.55,33.5,18.6,0.0,11.6
40,Meknès,2026-09-20,33.8833,-5.55,34.9,21.1,0.0,15.8
41,Meknès,2026-09-21,33.8833,-5.55,34.2,20.3,0.0,13.0
42,Rabat,2026-09-15,34.0211,-6.8414,28.2,21.6,0.0,12.3
43,Rabat,2026-09-16,34.0211,-6.8414,26.2,20.9,0.0,15.5
44,Rabat,2026-09-17,34.0211,-6.8414,26.3,19.6,0.0,12.0
45,Rabat,2026-09-18,34.0211,-6.8414,27.0,16.4,0.0,12.0
46,Rabat,2026-09-19,34.0211,-6.8414,29.5,17.4,0.0,12.4
47,Rabat,2026-09-20,34.0211,-6.8414,33.6,19.5,0.0,13.4
48,Rabat,2026-09-21,34.0211,-6.8414,28.4,20.3,0.0,14.1
49,Agadir,2026-09-15,30.4214,-9.5831,34.4,26.1,0.0,9.0
50,Agadir,2026-09-16,30.4214,-9.5831,38.1,24.5,0.0,20.4
51,Agadir,2026-09-17,30.4214,-9.5831,28.3,20.9,0.0,14.7
52,Agadir,2026-09-18,30.4214,-9.5831,27.1,20.2,0.0,13.3
53,Agadir,2026-09-19,30.4214,-9.5831,27.7,21.4,0.0,12.6
54,Agadir,2026-09-20,30.4214,-9.5831,28.5,21.0,0.0,13.9
55,Agadir,2026-09-21,30.4214,-9.5831,33.3,21.3,0.0,17.0
56,Kenitra,2026-09-15,34.25,-6.5833,29.1,21.2,0.0,13.0
57,Kenitra,2026-09-16,34.25,-6.5833,26.9,20.8,0.0,16.8
58,Kenitra,2026-09-17,34.25,-6.5833,26.9,18.8,0.0,12.8
59,Kenitra,2026-09-18,34.25,-6.5833,28.1,16.9,0.0,13.3
60,Kenitra,2026-09-19,34.25,-6.5833,32.6,17.1,0.0,17.1
61,Kenitra,2026-09-20,34.25,-6.5833,36.7,22.4,0.0,13.0
62,Kenitra,2026-09-21,34.25,-6.5833,33.1,21.8,0.0,16.8
63,Oujda-Angad,2026-09-15,34.6867,-1.9114,31.2,16.2,0.0,18.1
64,Oujda-Angad,2026-09-16,34.6867,-1.9114,32.3,15.5,0.0,19.1
65,Oujda-Angad,2026-09-17,34.6867,-1.9114,27.6,16.1,0.2,18.4
66,Oujda-Angad,2026-09-18,34.6867,-1.9114,27.0,18.0,0.0,18.4
67,Oujda-Angad,2026-09-19,34.6867,-1.9114,27.9,18.2,0.0,19.5
68,Oujda-Angad,2026-09-20,34.6867,-1.9114,28.1,17.4,0.0,20.9
69,Oujda-Angad,2026-09-21,34.6867,-1.9114,27.8,18.4,0.0,13.7
70,Tétouan,2026-09-15,35.5667,-5.3667,29.2,21.2,0.0,12.1
71,Tétouan,2026-09-16,35.5667,-5.3667,33.6,19.4,0.0,26.5
72,Tétouan,2026-09-17,35.5667,-5.3667,27.5,14.8,0.0,11.6
73,Tétouan,2026-09-18,35.5667,-5.3667,26.6,20.2,0.0,15.7
74,Tétouan,2026-09-19,35.5667,-5.3667,26.5,21.9,0.0,32.4
75,Tétouan,2026-09-20,35.5667,-5.3667,25.3,22.4,0.0,36.4
76,Tétouan,2026-09-21,35.5667,-5.3667,25.4,21.8,0.0,32.5
77,Safi,2026-09-15,32.2833,-9.2333,34.1,22.8,0.0,22.9
78,Safi,2026-09-16,32.2833,-9.2333,27.5,20.8,0.0,27.5
79,Safi,2026-09-17,32.2833,-9.2333,25.3,19.2,0.0,20.4
80,Safi,2026-09-18,32.2833,-9.2333,26.4,19.5,0.0,22.7
81,Safi,2026-09-19,32.2833,-9.2333,28.2,18.8,0.0,20.4
82,Safi,2026-09-20,32.2833,-9.2333,30.9,21.4,0.0,13.0
83,Safi,2026-09-21,32.2833,-9.2333,26.1,19.4,0.0,12.3
84,Taourirt,2026-09-15,34.41,-2.89,32.7,19.0,0.0,23.0
85,Taourirt,2026-09-16,34.41,-2.89,34.5,18.7,0.0,22.4
86,Taourirt,2026-09-17,34.41,-2.89,29.6,19.2,0.0,26.2
87,Taourirt,2026-09-18,34.41,-2.89,29.3,19.7,0.0,26.7
88,Taourirt,2026-09-19,34.41,-2.89,29.6,19.1,0.0,29.0
89,Taourirt,2026-09-20,34.41,-2.89,30.1,19.9,0.0,27.8
90,Taourirt,2026-09-21,34.41,-2.89,30.2,19.6,0.0,25.3
91,Temara,2026-09-15,33.9234,-6.9076,28.2,21.4,0.0,11.8
92,Temara,2026-09-16,33.9234,-6.9076,26.0,20.2,0.0,15.5
93,Temara,2026-09-17,33.9234,-6.9076,26.0,19.2,0.0,12.5
94,Temara,2026-09-18,33.9234,-6.9076,26.7,15.7,0.0,11.5
95,Temara,2026-09-19,33.9234,-6.9076,29.4,16.6,0.0,11.8
96,Temara,2026-09-20,33.9234,-6.9076,31.2,19.6,0.0,12.8
97,Temara,2026-09-21,33.9234,-6.9076,26.2,20.7,0.0,14.7
98,Laâyoune,2026-09-15,27.15,-13.2,40.1,25.2,0.0,26.1
99,Laâyoune,2026-09-16,27.15,-13.2,36.4,22.1,0.0,26.2
100,Laâyoune,2026-09-17,27.15,-13.2,28.6,21.5,0.0,30.6
101,Laâyoune,2026-09-18,27.15,-13.2,28.0,19.9,0.0,29.3
102,Laâyoune,2026-09-19,27.15,-13.2,28.7,19.8,0.0,25.0
103,Laâyoune,2026-09-20,27.15,-13.2,33.4,18.7,0.0,24.1
104,Laâyoune,2026-09-21,27.15,-13.2,35.3,21.0,0.0,26.3
105,El Jadid,2026-09-15,33.2566,-8.5025,26.8,21.5,0.0,16.5
106,El Jadid,2026-09-16,33.2566,-8.5025,24.9,21.1,0.0,19.1
107,El Jadid,2026-09-17,33.2566,-8.5025,25.4,20.0,0.0,15.2
108,El Jadid,2026-09-18,33.2566,-8.5025,25.3,20.3,0.0,18.5
109,El Jadid,2026-09-19,33.2566,-8.5025,25.5,20.4,0.0,18.2
110,El Jadid,2026-09-20,33.2566,-8.5025,28.6,21.2,0.0,15.5
111,El Jadid,2026-09-21,33.2566,-8.5025,27.5,20.3,0.0,13.3
112,Ait Melloul,2026-09-15,30.3342,-9.4972,35.0,25.1,0.0,15.5
113,Ait Melloul,2026-09-16,30.3342,-9.4972,30.1,21.7,0.0,19.1
114,Ait Melloul,2026-09-17,30.3342,-9.4972,27.3,21.5,0.0,18.8
115,Ait Melloul,2026-09-18,30.3342,-9.4972,27.1,20.4,0.0,18.8
116,Ait Melloul,2026-09-19,30.3342,-9.4972,26.8,20.5,0.0,21.3
117,Ait Melloul,2026-09-20,30.3342,-9.4972,28.7,21.2,0.0,13.9
118,Ait Melloul,2026-09-21,30.3342,-9.4972,33.5,21.6,0.0,17.0
119,Béni Mellal,2026-09-15,32.3394,-6.3608,36.6,25.7,0.1,20.3
120,Béni Mellal,2026-09-16,32.3394,-6.3608,32.9,22.1,0.0,17.1
