city,forecast_date,latitude,longitude,temperature_max,temperature_min,precipitation_sum,wind_speed_10m_max,temperature_category,precipitation_category,wind_category,temperature_risk,precipitation_risk,wind_risk,risk_score,risk_level
Casablanca,2026-09-15,33.5992,-7.62,28.8,21.7,0.0,11.0,Normal,No Rain,Low,0,0,0,0.0,low
Casablanca,2026-09-16,33.5992,-7.62,25.9,21.1,0.0,14.3,Normal,No Rain,Low,0,0,0,0.0,low
Casablanca,2026-09-17,33.5992,-7.62,25.8,19.9,0.0,11.7,Normal,No Rain,Low,0,0,0,0.0,low
Casablanca,2026-09-18,33.5992,-7.62,26.3,18.6,0.0,14.0,Normal,No Rain,Low,0,0,0,0.0,low
Casablanca,2026-09-19,33.5992,-7.62,27.0,19.9,0.0,12.4,Normal,No Rain,Low,0,0,0,0.0,low
Casablanca,2026-09-20,33.5992,-7.62,31.8,21.5,0.0,11.6,Hot,No Rain,Low,50,0,0,12.5,low
Casablanca,2026-09-21,33.5992,-7.62,30.3,21.6,0.0,13.2,Hot,No Rain,Low,50,0,0,12.5,low
Tangier,2026-09-15,35.7767,-5.8039,30.8,21.0,0.0,13.2,Hot,No Rain,Low,50,0,0,12.5,low
Tangier,2026-09-16,35.7767,-5.8039,26.8,18.1,0.0,18.7,Normal,No Rain,Low,0,0,0,0.0,low
Tangier,2026-09-17,35.7767,-5.8039,26.1,16.6,0.0,12.0,Normal,No Rain,Low,0,0,0,0.0,low
Tangier,2026-09-18,35.7767,-5.8039,28.4,20.3,0.0,18.3,Normal,No Rain,Low,0,0,0,0.0,low
Tangier,2026-09-19,35.7767,-5.8039,27.7,22.0,0.0,31.1,Normal,No Rain,Moderate,0,0,30,10.5,low
Tangier,2026-09-20,35.7767,-5.8039,25.5,22.6,0.0,42.5,Normal,No Rain,Strong,0,0,70,24.5,low
Tangier,2026-09-21,35.7767,-5.8039,25.6,21.9,0.0,40.0,Normal,No Rain,Strong,0,0,70,24.5,low
Fès,2026-09-15,34.0433,-5.0033,34.6,23.8,0.0,14.4,Hot,No Rain,Low,50,0,0,12.5,low
Fès,2026-09-16,34.0433,-5.0033,31.2,20.7,0.0,16.9,Hot,No Rain,Low,50,0,0,12.5,low
Fès,2026-09-17,34.0433,-5.0033,29.5,18.7,0.0,11.7,Normal,No Rain,Low,0,0,0,0.0,low
