city,forecast_date,latitude,longitude,temperature_max,temperature_min,precipitation_sum,wind_speed_10m_max
Casablanca,2026-09-18,33.5992,-7.62,24.5,18.7,0.0,12.7
Casablanca,2026-09-19,33.5992,-7.62,26.8,19.7,0.0,11.9
Casablanca,2026-09-20,33.5992,-7.62,29.4,20.8,0.0,10.9
Casablanca,2026-09-21,33.5992,-7.62,29.4,20.9,0.0,10.9
Casablanca,2026-09-22,33.5992,-7.62,28.2,20.7,0.0,10.1
Casablanca,2026-09-23,33.5992,-7.62,29.1,19.9,0.0,12.6
Casablanca,2026-09-24,33.5992,-7.62,30.4,19.4,0.0,12.8
Tangier,2026-09-18,35.7767,-5.8039,27.9,18.3,0.0,22.3
Tangier,2026-09-19,35.7767,-5.8039,27.7,22.8,0.0,31.8
Tangier,2026-09-20,35.7767,-5.8039,28.3,23.9,0.0,30.6
Tangier,2026-09-21,35.7767,-5.8039,28.4,22.7,0.0,29.2
Tangier,2026-09-22,35.7767,-5.8039,28.1,21.4,0.0,25.0
Tangier,2026-09-23,35.7767,-5.8039,28.7,21.3,0.0,23.5
Tangier,2026-09-24,35.7767,-5.8039,29.7,22.6,0.0,21.7
Fès,2026-09-18,34.0433,-5.0033,31.8,17.4,0.0,10.0
Fès,2026-09-19,34.0433,-5.0033,33.9,21.1,0.0,18.9
Fès,2026-09-20,34.0433,-5.0033,35.0,22.0,0.0,15.0
Fès,2026-09-21,34.0433,-5.0033,33.7,22.0,0.0,13.3
Fès,2026-09-22,34.0433,-5.0033,33.7,20.6,0.0,10.9
Fès,2026-09-23,34.0433,-5.0033,34.9,19.8,0.0,8.7
Fès,2026-09-24,34.0433,-5.0033,36.0,21.5,0.0,9.6
Marrakech,2026-09-18,31.6295,-7.9811,31.7,17.9,0.0,6.5
Marrakech,2026-09-19,31.6295,-7.9811,36.5,21.2,0.1,9.6
Marrakech,2026-09-20,31.6295,-7.9811,37.2,22.6,0.6,13.0
Marrakech,2026-09-21,31.6295,-7.9811,37.4,22.9,0.0,16.4
Marrakech,2026-09-22,31.6295,-7.9811,36.5,21.0,0.0,13.9
Marrakech,2026-09-23,31.6295,-7.9811,35.9,19.7,0.0,12.9
Marrakech,2026-09-24,31.6295,-7.9811,36.7,20.8,0.0,13.3
Sale,2026-09-18,34.05,-6.8167,25.6,16.3,0.0,13.8
Sale,2026-09-19,34.05,-6.8167,30.5,17.5,0.0,13.2
Sale,2026-09-20,34.05,-6.8167,30.6,20.3,0.0,11.8
Sale,2026-09-21,34.05,-6.8167,29.9,20.6,0.0,11.9
Sale,2026-09-22,34.05,-6.8167,29.5,20.1,0.0,11.5
